,label,PCA_feature_2,PCA_feature_3,PCA_feature_11,PCA_feature_129,PCA_feature_131,PCA_feature_132,PCA_feature_133,PCA_feature_139,PCA_feature_140
28,1.0,-11.336815741769145,-8.730198129624107,3.2207811138071603,1.6375789613221059e-15,0.0,1.399054483375295e-15,4.163336342344337e-17,-1.942890293094024e-16,-7.042977312465837e-16
29,1.0,-6.198853381003565,6.367630478436662,4.750789243440438,1.6237011735142914e-15,-9.43689570931383e-16,1.1657341758564144e-15,7.28583859910259e-17,-9.020562075079397e-17,1.3877787807814457e-16
29,0.0,2.4814810303651336,-19.133230205897295,-6.559770493799339,-8.881784197001252e-16,1.4849232954361469e-15,-1.3877787807814457e-15,-2.3037127760972e-15,-2.8449465006019636e-16,-1.27675647831893e-15
30,0.0,18.47160835832021,-19.79545896044667,-5.441670610016751,-1.2906342661267445e-15,1.762479051592436e-15,4.996003610813204e-16,-3.1086244689504383e-15,-1.2906342661267445e-15,-8.881784197001252e-16
31,1.0,4.340743201669184,33.87351788750141,-1.8702818533791477,1.2628786905111156e-15,1.27675647831893e-15,5.495603971894525e-15,3.3584246494910985e-15,1.3322676295501878e-15,2.6229018956769323e-15
32,1.0,-2.600416157098839,4.937632087778015,0.9276867429487796,1.9532986339498848e-15,-1.9446250165700008e-15,2.373101715136272e-15,1.5543122344752192e-15,-1.734723475976807e-18,8.604228440844963e-16
33,1.0,0.9455963250188898,10.795953348002081,-0.37652382871379786,8.465450562766819e-16,-7.979727989493313e-16,1.7208456881689926e-15,-1.5265566588595902e-15,1.1032841307212493e-15,8.326672684688674e-16
34,1.0,-10.38428589962609,-5.947411353994331,0.8748732675502602,7.91033905045424e-16,-1.0685896612017132e-15,5.551115123125783e-17,-1.6514567491299204e-15,-7.077671781985373e-16,-5.273559366969494e-16
34,0.0,-0.01676037461618965,1.866382247271289,-3.9746111143067906,-1.6930901125533637e-15,1.0547118733938987e-15,-5.273559366969494e-16,1.1934897514720433e-15,4.440892098500626e-16,9.020562075079397e-16
35,0.0,2.595067297372537,-11.130356763588717,0.16590526420550766,-6.661338147750939e-16,2.2898349882893854e-16,4.163336342344337e-16,-2.491062911502695e-15,-6.106226635438361e-16,-4.996003610813204e-16
35,1.0,-7.7259088236966305,4.557445127961215,4.036845583993699,1.5543122344752192e-15,-9.43689570931383e-16,5.828670879282072e-16,-3.885780586188048e-16,-1.942890293094024e-16,1.3877787807814457e-17
36,0.0,22.833383649084134,-5.480417170129288,-0.9355245227948654,-5.273559366969494e-16,1.9845236565174673e-15,6.661338147750939e-16,-2.3869795029440866e-15,-3.885780586188048e-16,1.942890293094024e-16
